id,int_uv_new,x,y,z
0,251.68836428983,0.005,0.005,0
1,251.73691246328,0.015,0.005,0
2,251.83154113372,0.025,0.005,0
3,251.96462283324,0.035,0.005,0
4,252.12465531531,0.045,0.005,0
5,252.29394481785,0.055,0.005,0
6,252.44820358845,0.065,0.005,0
7,252.55245369073,0.075,0.005,0
8,252.56556764652,0.085,0.005,0
9,252.43480576963,0.095,0.005,0
10,252.09932840068,0.105,0.005,0
11,251.49158285343,0.115,0.005,0
12,250.53666627306,0.125,0.005,0
13,249.15835211918,0.135,0.005,0
14,247.27822309712,0.145,0.005,0
15,244.82191183277,0.155,0.005,0
16,241.71714370825,0.165,0.005,0
17,237.89863591808,0.175,0.005,0
18,233.30775476799,0.185,0.005,0
19,227.8938943121,0.195,0.005,0
20,221.61414168683,0.205,0.005,0
21,214.43235217326,0.215,0.005,0
22,206.31757058062,0.225,0.005,0
23,197.2439284802,0.235,0.005,0
24,187.18903489902,0.245,0.005,0
25,176.13356985909,0.255,0.005,0
26,164.06365677911,0.265,0.005,0
27,150.97599986861,0.275,0.005,0
28,136.88446683456,0.285,0.005,0
29,121.83259923882,0.295,0.005,0
30,105.90580908273,0.305,0.005,0
31,89.244453499636,0.315,0.005,0
32,72.054463400026,0.325,0.005,0
33,54.607919291113,0.335,0.005,0
34,37.232492866451,0.345,0.005,0
35,20.285314262279,0.355,0.005,0
36,4.1116164677206,0.365,0.005,0
37,-11.005152249314,0.375,0.005,0
38,-24.894867350807,0.385,0.005,0
39,-37.540002180206,0.395,0.005,0
40,-49.095434936428,0.405,0.005,0
41,-59.881541798884,0.415,0.005,0
42,-70.352168265546,0.425,0.005,0
43,-81.040367565771,0.435,0.005,0
44,-92.492350315545,0.445,0.005,0
45,-105.19026832524,0.455,0.005,0
46,-119.47188781779,0.465,0.005,0
47,-135.44011634002,0.475,0.005,0
48,-152.86790396232,0.485,0.005,0
49,-171.1064504924,0.495,0.005,0
50,-189.03380379934,0.505,0.005,0
51,-205.08086097491,0.515,0.005,0
52,-217.39080598228,0.525,0.005,0
53,-224.12646971791,0.535,0.005,0
54,-223.8498866066,0.545,0.005,0
55,-215.84302854184,0.555,0.005,0
56,-200.21564839793,0.565,0.005,0
57,-177.7724320708,0.575,0.005,0
58,-149.76299098927,0.585,0.005,0
59,-117.67509524117,0.595,0.005,0
60,-83.140686959326,0.605,0.005,0
61,-47.881474020663,0.615,0.005,0
62,-13.55920877831,0.625,0.005,0
63,18.480018954401,0.635,0.005,0
64,47.453631438157,0.645,0.005,0
65,73.222159817471,0.655,0.005,0
66,96.145639518735,0.665,0.005,0
67,116.79004257452,0.675,0.005,0
68,135.61891599473,0.685,0.005,0
69,152.79155841627,0.695,0.005,0
70,168.13394780943,0.705,0.005,0
71,181.27059968745,0.715,0.005,0
72,191.83922600083,0.725,0.005,0
73,199.65353141008,0.735,0.005,0
74,204.73602743196,0.745,0.005,0
75,207.21753155383,0.755,0.005,0
76,207.18455289981,0.765,0.005,0
77,204.54722444798,0.775,0.005,0
78,198.9739102485,0.785,0.005,0
79,189.91624770289,0.795,0.005,0
80,176.73661073852,0.805,0.005,0
81,158.93599497492,0.815,0.005,0
82,136.4405059494,0.825,0.005,0
83,109.83348695215,0.835,0.005,0
84,80.380626776844,0.845,0.005,0
85,49.763069723454,0.855,0.005,0
86,19.606549322742,0.865,0.005,0
87,-8.9607912784675,0.875,0.005,0
88,-35.513856177263,0.885,0.005,0
89,-60.254508976164,0.895,0.005,0
90,-83.747405831278,0.905,0.005,0
91,-106.5839518141,0.915,0.005,0
92,-129.04024323962,0.925,0.005,0
93,-150.74088246221,0.935,0.005,0
94,-170.3505366417,0.945,0.005,0
95,-185.39020036897,0.955,0.005,0
96,-192.30833559831,0.965,0.005,0
97,-186.85280081412,0.975,0.005,0
98,-164.28857181585,0.985,0.005,0
99,-126.96829570359,0.995,0.005,0
100,249.55834793961,0.005,0.015,0
101,249.60030374118,0.015,0.015,0
102,249.68145316574,0.025,0.015,0
103,249.79260020021,0.035,0.015,0
104,249.92167446747,0.045,0.015,0
105,250.04951617141,0.055,0.015,0
106,250.1491408202,0.065,0.015,0
107,250.18517810657,0.075,0.015,0
108,250.11397971957,0.085,0.015,0
109,249.88118478068,0.095,0.015,0
110,249.42542606148,0.105,0.015,0
111,248.67768921734,0.115,0.015,0
112,247.5631176695,0.125,0.015,0
113,246.00550654112,0.135,0.015,0
114,243.92677913058,0.145,0.015,0
115,241.25285663548,0.155,0.015,0
116,237.91266232822,0.165,0.015,0
117,233.84162160396,0.175,0.015,0
118,228.98214510154,0.185,0.015,0
119,223.28468602771,0.195,0.015,0
120,216.70765327697,0.205,0.015,0
121,209.2165046557,0.215,0.015,0
122,200.78294360132,0.225,0.015,0
123,191.38425278406,0.235,0.015,0
