id,uxi,x,y,z
0,-4.1238465759887e-06,0.023,0.0005,0
0.0005,-7.359209197324e-06,0.023,0.001,0
0.001,-1.0071369621941e-05,0.023,0.0015,0
0.0015,-1.2233217398909e-05,0.023,0.002,0
0.002,-1.3781701360378e-05,0.023,0.0025,0
0.0025,-1.4735181131064e-05,0.023,0.003,0
0.003,-1.5058700206049e-05,0.023,0.0035,0
0.0035,-1.4792190269089e-05,0.023,0.004,0
0.004,-1.3885319112519e-05,0.023,0.0045,0
0.0045,-1.2384595543025e-05,0.023,0.005,0
0.005,-1.0222333502686e-05,0.023,0.0055,0
0.0055,-7.464852319888e-06,0.023,0.006,0
0.006,-4.0094898927466e-06,0.023,0.0065,0
0.0065,6.4543489751645e-08,0.023,0.007,0
0.007,4.9097948325092e-06,0.023,0.0075,0
0.0075,1.0408055720456e-05,0.023,0.008,0
0.008,1.6738875110673e-05,0.023,0.0085,0
0.0085,2.3698180897196e-05,0.023,0.009,0
0.009,3.1512654929408e-05,0.023,0.0095,0
0.0095,3.9981594201642e-05,0.023,0.01,0
0.01,4.9448950798174e-05,0.023,0.0105,0
0.0105,5.9665239532739e-05,0.023,0.011,0
0.011,7.0713527187263e-05,0.023,0.0115,0
0.0115,8.1975222205622e-05,0.023,0.012,0
0.012,9.3385864252326e-05,0.023,0.0125,0
0.0125,0.00010449713332378,0.023,0.013,0
0.013,0.00011540114218064,0.023,0.0135,0
0.0135,0.00012508010781275,0.023,0.014,0
0.014,0.00013342167962539,0.023,0.0145,0
0.0145,0.00013975087685544,0.023,0.015,0
0.015,0.00014418438413073,0.023,0.0155,0
0.0155,0.00014548375012472,0.023,0.016,0
0.016,0.00014405288620917,0.023,0.0165,0
0.0165,0.00013879726944855,0.023,0.017,0
0.017,0.00013056784509274,0.023,0.0175,0
0.0175,0.00011758895255097,0.023,0.018,0
0.018,0.00010172236875945,0.023,0.0185,0
0.0185,8.0429859163467e-05,0.023,0.019,0
0.019,5.7183442117853e-05,0.023,0.0195,0
0.0195,2.8199648322667e-05,0.023,0.02,0
