id,uxi,x,y,z
0,6.6641133361291e-08,0.022,0.0005,0
0.0005,-3.6366371313514e-08,0.022,0.001,0
0.001,-2.1533815703806e-07,0.022,0.0015,0
0.0015,-4.5487949285187e-07,0.022,0.002,0
0.002,-6.5327265160303e-07,0.022,0.0025,0
0.0025,-8.3914423443757e-07,0.022,0.003,0
0.003,-9.2141213760039e-07,0.022,0.0035,0
0.0035,-9.1823880022399e-07,0.022,0.004,0
0.004,-7.16538022771e-07,0.022,0.0045,0
0.0045,-3.9028372386447e-07,0.022,0.005,0
0.005,5.6010926515321e-08,0.022,0.0055,0
0.0055,3.713463561445e-07,0.022,0.006,0
0.006,4.581808330701e-07,0.022,0.0065,0
0.0065,8.4080268935497e-08,0.022,0.007,0
0.007,-6.2551413828573e-07,0.022,0.0075,0
0.0075,-1.5973245666874e-06,0.022,0.008,0
0.008,-2.2971022174762e-06,0.022,0.0085,0
0.0085,-2.4684532793087e-06,0.022,0.009,0
0.009,-1.6557651626294e-06,0.022,0.0095,0
0.0095,-1.7077511403749e-07,0.022,0.01,0
0.01,1.7538199110323e-06,0.022,0.0105,0
0.0105,3.0304333389501e-06,0.022,0.011,0
0.011,3.2605542527517e-06,0.022,0.0115,0
0.0115,1.6457302250793e-06,0.022,0.012,0
0.012,-1.1075436887568e-06,0.022,0.0125,0
0.0125,-4.5899387765316e-06,0.022,0.013,0
0.013,-7.2245237731253e-06,0.022,0.0135,0
0.0135,-8.2087566486564e-06,0.022,0.014,0
0.014,-6.1875215045747e-06,0.022,0.0145,0
0.0145,-1.7308738307344e-06,0.022,0.015,0
0.015,4.9965404644298e-06,0.022,0.0155,0
0.0155,1.0995715294935e-05,0.022,0.016,0
0.016,1.5023539219084e-05,0.022,0.0165,0
0.0165,1.3408782684716e-05,0.022,0.017,0
0.017,6.1401829662371e-06,0.022,0.0175,0
0.0175,-8.5405214722434e-06,0.022,0.018,0
0.018,-2.6679407259129e-05,0.022,0.0185,0
0.0185,-4.2032164818373e-05,0.022,0.019,0
0.019,-4.319706462278e-05,0.022,0.0195,0
0.0195,-2.5044534164865e-05,0.022,0.02,0
