x,y,z,value
0.015,0.0005,0,-40.518843007619
0.015,0.001,0,-52.0299827435156
0.015,0.0015,0,-25.1430142867659
0.015,0.002,0,34.7666605758778
0.015,0.0025,0,102.085840187015
0.015,0.003,0,137.918061395692
0.015,0.0035,0,105.907214751603
0.015,0.004,0,-6.94345590054701
0.015,0.0045,0,-173.015458535764
0.015,0.005,0,-321.580492491053
0.015,0.0055,0,-351.743364307025
0.015,0.006,0,-200.972797190943
0.015,0.0065,0,162.635271815422
0.015,0.007,0,483.91822326996
0.015,0.0075,0,332.966941303088
0.015,0.008,0,-368.887214476402
0.015,0.0085,0,-353.805502741197
0.015,0.009,0,-353.915645259655
0.015,0.0095,0,-383.743349557141
0.015,0.01,0,-399.172039375072
0.015,0.0105,0,-405.148856278014
0.015,0.011,0,-428.72540931406
0.015,0.0115,0,-511.980629910502
0.015,0.012,0,-665.102996443356
0.015,0.0125,0,-791.96599575365
0.015,0.013,0,-993.46515075695
0.015,0.0135,0,-1035.06856739374
0.015,0.014,0,-1094.73149491346
0.015,0.0145,0,-630.473505936127
0.015,0.015,0,-127.17200164287
0.015,0.0155,0,521.48372168594
0.015,0.016,0,784.501998276152
0.015,0.0165,0,131.644486524248
0.015,0.017,0,-950.448190014304
0.015,0.0175,0,-502.443948589171
0.015,0.018,0,-68.3021009224431
0.015,0.0185,0,383.335784213417
0.015,0.019,0,104.914396821105
0.015,0.0195,0,579.140460440785
0.015,0.02,0,-606.5006672128
