id,integral_strain_stress_param2,x,y,z
0,9.0246315693222e-11,0.0005,0.0005,0
1,3.8034185762939e-11,0.0015,0.0005,0
2,-1.3301510168185e-10,0.0025,0.0005,0
3,2.3968325863651e-10,0.0035,0.0005,0
4,7.1504550320033e-10,0.0045,0.0005,0
5,-6.3054289180085e-10,0.0055,0.0005,0
6,-2.2994282102239e-09,0.0065,0.0005,0
7,4.498888143044e-10,0.0075,0.0005,0
8,5.920994911693e-09,0.0085,0.0005,0
9,4.8887838537186e-09,0.0095,0.0005,0
10,-4.6810489969536e-09,0.0105,0.0005,0
11,-1.2747294968665e-08,0.0115,0.0005,0
12,-2.2572571011237e-08,0.0125,0.0005,0
13,-6.1155200519452e-08,0.0135,0.0005,0
14,-6.2221633124578e-08,0.0145,0.0005,0
15,-6.2221633124578e-08,0.0155,0.0005,0
16,-6.1155200519452e-08,0.0165,0.0005,0
17,-2.2572571011237e-08,0.0175,0.0005,0
18,-1.2747294968665e-08,0.0185,0.0005,0
19,-4.6810489969538e-09,0.0195,0.0005,0
20,4.8887838537185e-09,0.0205,0.0005,0
21,5.9209949116931e-09,0.0215,0.0005,0
22,4.4988881430444e-10,0.0225,0.0005,0
23,-2.2994282102239e-09,0.0235,0.0005,0
24,-6.3054289180086e-10,0.0245,0.0005,0
25,7.1504550320033e-10,0.0255,0.0005,0
26,2.3968325863651e-10,0.0265,0.0005,0
27,-1.3301510168185e-10,0.0275,0.0005,0
28,3.803418576294e-11,0.0285,0.0005,0
29,9.0246315693223e-11,0.0295,0.0005,0
30,3.5368093261435e-11,0.0005,0.0015,0
31,-1.0043826840276e-10,0.0015,0.0015,0
32,4.2999544629417e-10,0.0025,0.0015,0
33,8.8906143527409e-12,0.0035,0.0015,0
34,-1.2665264549867e-09,0.0045,0.0015,0
35,1.019299954519e-09,0.0055,0.0015,0
36,3.4797528406745e-09,0.0065,0.0015,0
37,-2.5754031049203e-09,0.0075,0.0015,0
38,-9.0400696541677e-09,0.0085,0.0015,0
39,-3.9991599855238e-10,0.0095,0.0015,0
40,1.809611200574e-08,0.0105,0.0015,0
41,2.7137983091216e-08,0.0115,0.0015,0
42,4.8796152522007e-09,0.0125,0.0015,0
43,-7.5634886264368e-08,0.0135,0.0015,0
44,-1.0770396257699e-07,0.0145,0.0015,0
45,-1.0770396257699e-07,0.0155,0.0015,0
46,-7.5634886264368e-08,0.0165,0.0015,0
47,4.8796152522005e-09,0.0175,0.0015,0
48,2.7137983091216e-08,0.0185,0.0015,0
49,1.809611200574e-08,0.0195,0.0015,0
50,-3.9991599855203e-10,0.0205,0.0015,0
51,-9.0400696541677e-09,0.0215,0.0015,0
52,-2.5754031049204e-09,0.0225,0.0015,0
53,3.4797528406745e-09,0.0235,0.0015,0
54,1.019299954519e-09,0.0245,0.0015,0
55,-1.2665264549867e-09,0.0255,0.0015,0
56,8.8906143527411e-12,0.0265,0.0015,0
57,4.2999544629417e-10,0.0275,0.0015,0
58,-1.0043826840276e-10,0.0285,0.0015,0
59,3.5368093261435e-11,0.0295,0.0015,0
60,-1.0770855955753e-10,0.0005,0.0025,0
61,4.4542335761679e-10,0.0015,0.0025,0
62,-2.5197675188174e-10,0.0025,0.0025,0
63,-1.3011792904527e-09,0.0035,0.0025,0
64,2.8677876519029e-09,0.0045,0.0025,0
65,2.9724297579022e-09,0.0055,0.0025,0
66,-1.1211897744488e-08,0.0065,0.0025,0
67,-9.1867517785588e-09,0.0075,0.0025,0
68,2.5593709042795e-08,0.0085,0.0025,0
69,3.5236410054022e-08,0.0095,0.0025,0
70,-1.6420405127189e-08,0.0105,0.0025,0
71,-6.8546427661653e-08,0.0115,0.0025,0
72,-1.1644359815369e-07,0.0125,0.0025,0
73,-3.1229006047902e-07,0.0135,0.0025,0
74,-3.5749339306872e-07,0.0145,0.0025,0
75,-3.5749339306872e-07,0.0155,0.0025,0
76,-3.1229006047902e-07,0.0165,0.0025,0
77,-1.1644359815369e-07,0.0175,0.0025,0
78,-6.8546427661653e-08,0.0185,0.0025,0
