id,uxr,x,y,z
0,1.8815398521352e-07,0.023,0.0005,0
0.0005,3.395489506764e-07,0.023,0.001,0
0.001,4.106534927508e-07,0.023,0.0015,0
0.0015,4.6450308515715e-07,0.023,0.002,0
0.002,4.4136874627839e-07,0.023,0.0025,0
0.0025,4.2978965689955e-07,0.023,0.003,0
0.003,3.6987431519144e-07,0.023,0.0035,0
0.0035,3.6205364867296e-07,0.023,0.004,0
0.004,3.2934700467622e-07,0.023,0.0045,0
0.0045,3.6319621997552e-07,0.023,0.005,0
0.005,3.6633289254681e-07,0.023,0.0055,0
0.0055,4.2934021383353e-07,0.023,0.006,0
0.006,4.4930719765004e-07,0.023,0.0065,0
0.0065,5.2899217585826e-07,0.023,0.007,0
0.007,5.5988764162115e-07,0.023,0.0075,0
0.0075,6.6350521045345e-07,0.023,0.008,0
0.008,7.1605177606914e-07,0.023,0.0085,0
0.0085,8.6469977273777e-07,0.023,0.009,0
0.009,9.5300069935011e-07,0.023,0.0095,0
0.0095,1.1633394363015e-06,0.023,0.01,0
0.01,1.2798753813802e-06,0.023,0.0105,0
0.0105,1.5353137404259e-06,0.023,0.011,0
0.011,1.6146435837201e-06,0.023,0.0115,0
0.0115,1.8260428420104e-06,0.023,0.012,0
0.012,1.7300925198007e-06,0.023,0.0125,0
0.0125,1.7861023175977e-06,0.023,0.013,0
0.013,1.4434109475548e-06,0.023,0.0135,0
0.0135,1.4121304935621e-06,0.023,0.014,0
0.014,1.0541904709471e-06,0.023,0.0145,0
0.0145,1.3832665772585e-06,0.023,0.015,0
0.015,1.6113443192031e-06,0.023,0.0155,0
0.0155,3.0224213982158e-06,0.023,0.016,0
0.016,4.5259795145502e-06,0.023,0.0165,0
0.0165,7.5524864123209e-06,0.023,0.017,0
0.017,1.0505227350917e-05,0.023,0.0175,0
0.0175,1.4854385814127e-05,0.023,0.018,0
0.018,1.8229182884858e-05,0.023,0.0185,0
0.0185,2.2157297033011e-05,0.023,0.019,0
0.019,2.3088138739024e-05,0.023,0.0195,0
0.0195,2.2960373302103e-05,0.023,0.02,0
