id,integral_strain_stress1,x,y,z
0,9.8511100255855e-13,0.00025,0.00025,0
1,-1.0199111258582e-12,0.00075,0.00025,0
2,-2.2957154745445e-12,0.00125,0.00025,0
3,-5.2445092841831e-12,0.00175,0.00025,0
4,-6.5458794433241e-12,0.00225,0.00025,0
5,-6.6184544700888e-12,0.00275,0.00025,0
6,-4.442859551507e-12,0.00325,0.00025,0
7,-1.9020163501852e-12,0.00375,0.00025,0
8,-9.3715895727241e-13,0.00425,0.00025,0
9,-2.8470230085484e-12,0.00475,0.00025,0
10,-6.968399105678e-12,0.00525,0.00025,0
11,-1.0280954130171e-11,0.00575,0.00025,0
12,-9.0186840952797e-12,0.00625,0.00025,0
13,-1.5061082411914e-12,0.00675,0.00025,0
14,1.0810593953901e-11,0.00725,0.00025,0
15,2.2555399526333e-11,0.00775,0.00025,0
16,2.8691391538312e-11,0.00825,0.00025,0
17,2.6145279387199e-11,0.00875,0.00025,0
18,1.6893644842622e-11,0.00925,0.00025,0
19,5.9685325503769e-12,0.00975,0.00025,0
20,-5.9303032119696e-13,0.01025,0.00025,0
21,1.6348032713044e-12,0.01075,0.00025,0
22,1.4344530501207e-11,0.01125,0.00025,0
23,3.7501906357436e-11,0.01175,0.00025,0
24,7.0679163554231e-11,0.01225,0.00025,0
25,1.1325243047357e-10,0.01275,0.00025,0
26,1.6594815960788e-10,0.01325,0.00025,0
27,2.2397098104322e-10,0.01375,0.00025,0
28,2.8649684182789e-10,0.01425,0.00025,0
29,3.3149312858173e-10,0.01475,0.00025,0
30,3.3149312858198e-10,0.01525,0.00025,0
31,2.8649684182856e-10,0.01575,0.00025,0
32,2.2397098104399e-10,0.01625,0.00025,0
33,1.659481596086e-10,0.01675,0.00025,0
34,1.1325243047413e-10,0.01725,0.00025,0
35,7.0679163554664e-11,0.01775,0.00025,0
36,3.7501906357768e-11,0.01825,0.00025,0
37,1.4344530501491e-11,0.01875,0.00025,0
38,1.6348032715679e-12,0.01925,0.00025,0
39,-5.9303032094755e-13,0.01975,0.00025,0
40,5.9685325505757e-12,0.02025,0.00025,0
41,1.6893644842712e-11,0.02075,0.00025,0
42,2.6145279387114e-11,0.02125,0.00025,0
43,2.8691391538038e-11,0.02175,0.00025,0
44,2.255539952594e-11,0.02225,0.00025,0
45,1.0810593953558e-11,0.02275,0.00025,0
46,-1.5061082413018e-12,0.02325,0.00025,0
47,-9.0186840950729e-12,0.02375,0.00025,0
48,-1.0280954129734e-11,0.02425,0.00025,0
49,-6.9683991052193e-12,0.02475,0.00025,0
50,-2.847023008256e-12,0.02525,0.00025,0
51,-9.3715895717684e-13,0.02575,0.00025,0
52,-1.9020163501553e-12,0.02625,0.00025,0
53,-4.4428595513793e-12,0.02675,0.00025,0
54,-6.6184544698047e-12,0.02725,0.00025,0
55,-6.5458794429832e-12,0.02775,0.00025,0
56,-5.2445092839087e-12,0.02825,0.00025,0
57,-2.2957154744097e-12,0.02875,0.00025,0
58,-1.019911125799e-12,0.02925,0.00025,0
59,9.8511100260923e-13,0.02975,0.00025,0
60,-5.6247502173735e-13,0.00025,0.00075,0
61,-3.5745959662518e-12,0.00075,0.00075,0
62,-5.0989513984524e-12,0.00125,0.00075,0
63,-4.0696296446689e-12,0.00175,0.00075,0
64,-3.0695769100731e-12,0.00225,0.00075,0
65,-2.611957850461e-12,0.00275,0.00075,0
66,-4.005645888442e-12,0.00325,0.00075,0
67,-7.2586181193252e-12,0.00375,0.00075,0
68,-1.0712812247846e-11,0.00425,0.00075,0
69,-1.2262945721449e-11,0.00475,0.00075,0
70,-9.8865663365856e-12,0.00525,0.00075,0
71,-4.2438084464033e-12,0.00575,0.00075,0
72,2.0405479430554e-12,0.00625,0.00075,0
73,5.6452710425521e-12,0.00675,0.00075,0
74,5.2754663928888e-12,0.00725,0.00075,0
75,2.520145930111e-12,0.00775,0.00075,0
