id,ui,x,y,z
0,1.0490292540752e-06,0.015,0.0005,0
0.0005,2.3495917932364e-06,0.015,0.001,0
0.001,3.6626512312905e-06,0.015,0.0015,0
0.0015,4.9914518580008e-06,0.015,0.002,0
0.002,6.3364146806452e-06,0.015,0.0025,0
0.0025,7.6941009304462e-06,0.015,0.003,0
0.003,9.0561746157201e-06,0.015,0.0035,0
0.0035,1.0408359242993e-05,0.015,0.004,0
0.004,1.1729379564752e-05,0.015,0.0045,0
0.0045,1.2989888822232e-05,0.015,0.005,0
0.005,1.4151449483072e-05,0.015,0.0055,0
0.0055,1.5165896386058e-05,0.015,0.006,0
0.006,1.5976370688536e-05,0.015,0.0065,0
0.0065,1.6522414703831e-05,0.015,0.007,0
0.007,1.6773963222024e-05,0.015,0.0075,0
0.0075,1.6745022642573e-05,0.015,0.008,0
0.008,1.6710315867559e-05,0.015,0.0085,0
0.0085,1.6617821670548e-05,0.015,0.009,0
0.009,1.661921523054e-05,0.015,0.0095,0
0.0095,1.6693888364719e-05,0.015,0.01,0
0.01,1.6754318603099e-05,0.015,0.0105,0
0.0105,1.6740150224782e-05,0.015,0.011,0
0.011,1.6553668321541e-05,0.015,0.0115,0
0.0115,1.6209202373428e-05,0.015,0.012,0
0.012,1.592922181208e-05,0.015,0.0125,0
0.0125,1.5495997193082e-05,0.015,0.013,0
0.013,1.4757127704933e-05,0.015,0.0135,0
0.0135,1.3837444193023e-05,0.015,0.014,0
0.014,1.2608272830401e-05,0.015,0.0145,0
0.0145,1.10496435269e-05,0.015,0.015,0
0.015,9.0334801703638e-06,0.015,0.0155,0
0.0155,6.4808122054206e-06,0.015,0.016,0
0.016,3.668929707907e-06,0.015,0.0165,0
0.0165,4.1216091555655e-07,0.015,0.017,0
0.017,-2.7818612616003e-06,0.015,0.0175,0
0.0175,-6.1694439782948e-06,0.015,0.018,0
0.018,-9.8270297908054e-06,0.015,0.0185,0
0.0185,-1.3606320395892e-05,0.015,0.019,0
0.019,-1.7551751483418e-05,0.015,0.0195,0
0.0195,-2.1329551556348e-05,0.015,0.02,0
