id,uxr,x,y,z
0,1.2806902172594e-07,0.022,0.0005,0
0.0005,1.8193091527536e-07,0.022,0.001,0
0.001,1.0003310204e-07,0.022,0.0015,0
0.0015,6.5864380960083e-08,0.022,0.002,0
0.002,1.1333876529202e-08,0.022,0.0025,0
0.0025,7.1807120511678e-08,0.022,0.003,0
0.003,7.4492209866816e-08,0.022,0.0035,0
0.0035,1.2409280172948e-07,0.022,0.004,0
0.004,4.1369680826136e-08,0.022,0.0045,0
0.0045,3.5298212377645e-08,0.022,0.005,0
0.005,-2.1740832999794e-08,0.022,0.0055,0
0.0055,1.3454634670028e-07,0.022,0.006,0
0.006,2.6675516790983e-07,0.022,0.0065,0
0.0065,5.5505408262568e-07,0.022,0.007,0
0.007,5.9264889231325e-07,0.022,0.0075,0
0.0075,5.8911403391902e-07,0.022,0.008,0
0.008,1.8399108102843e-07,0.022,0.0085,0
0.0085,-8.7913127185525e-08,0.022,0.009,0
0.009,-4.13446310419e-07,0.022,0.0095,0
0.0095,-5.9029075024787e-08,0.022,0.01,0
0.01,4.8074263236787e-07,0.022,0.0105,0
0.0105,1.6111229027372e-06,0.022,0.011,0
0.011,2.1728889389642e-06,0.022,0.0115,0
0.0115,2.467302855235e-06,0.022,0.012,0
0.012,1.3922888249888e-06,0.022,0.0125,0
0.0125,1.8323858995048e-07,0.022,0.013,0
0.013,-1.6618364799647e-06,0.022,0.0135,0
0.0135,-2.0230886517625e-06,0.022,0.014,0
0.014,-1.5612095334684e-06,0.022,0.0145,0
0.0145,1.4875306063061e-06,0.022,0.015,0
0.015,4.8440746919351e-06,0.022,0.0155,0
0.0155,8.9177871309826e-06,0.022,0.016,0
0.016,9.8302857459454e-06,0.022,0.0165,0
0.0165,8.4645631814369e-06,0.022,0.017,0
0.017,1.3691164598678e-06,0.022,0.0175,0
0.0175,-6.8003130466907e-06,0.022,0.018,0
0.018,-1.6675449765674e-05,0.022,0.0185,0
0.0185,-1.4896432156128e-05,0.022,0.019,0
0.019,-2.8857196153099e-06,0.022,0.0195,0
0.0195,2.7948891290332e-05,0.022,0.02,0
