id,ur,x,y,z
0,-3.8847202625898e-08,0.015,0.0005,0
0.0005,-1.1580003477092e-07,0.015,0.001,0
0.001,-2.139146969002e-07,0.015,0.0015,0
0.0015,-3.239364059384e-07,0.015,0.002,0
0.002,-4.2275947543845e-07,0.015,0.0025,0
0.0025,-4.7730476176351e-07,0.015,0.003,0
0.003,-4.5263099603399e-07,0.015,0.0035,0
0.0035,-3.2265058138046e-07,0.015,0.004,0
0.004,-8.0896954040448e-08,0.015,0.0045,0
0.0045,2.516586847989e-07,0.015,0.005,0
0.005,6.2456487532309e-07,0.015,0.0055,0
0.0055,9.6359488887061e-07,0.015,0.006,0
0.006,1.1848753458703e-06,0.015,0.0065,0
0.0065,1.2162283961015e-06,0.015,0.007,0
0.007,1.033230587036e-06,0.015,0.0075,0
0.0075,6.5843422693444e-07,0.015,0.008,0
0.008,3.517061557379e-07,0.015,0.0085,0
0.0085,-5.2091382344337e-08,0.015,0.009,0
0.009,-2.4953868467149e-07,0.015,0.0095,0
0.0095,-4.9804321312813e-07,0.015,0.01,0
0.01,-8.1345973485255e-07,0.015,0.0105,0
0.0105,-1.0996842450071e-06,0.015,0.011,0
0.011,-1.3693569854197e-06,0.015,0.0115,0
0.0115,-1.504982950508e-06,0.015,0.012,0
0.012,-1.6671826419807e-06,0.015,0.0125,0
0.0125,-1.6615781925716e-06,0.015,0.013,0
0.013,-1.4653599723168e-06,0.015,0.0135,0
0.0135,-1.0090432680952e-06,0.015,0.014,0
0.014,-1.6879427522429e-07,0.015,0.0145,0
0.0145,9.934111565215e-07,0.015,0.015,0
0.015,2.3678364312417e-06,0.015,0.0155,0
0.0155,3.9939985076205e-06,0.015,0.016,0
0.016,5.3142389170253e-06,0.015,0.0165,0
0.0165,6.4898784322121e-06,0.015,0.017,0
0.017,6.8378445195635e-06,0.015,0.0175,0
0.0175,6.7388273452012e-06,0.015,0.018,0
0.018,5.9878457547641e-06,0.015,0.0185,0
0.0185,4.596366670234e-06,0.015,0.019,0
0.019,2.6618793416436e-06,0.015,0.0195,0
0.0195,2.4970944228805e-07,0.015,0.02,0
