id,integral_strain_stress,x,y,z
0,1.1158784680302e-08,0.00025,0.00025,0
1,7.3730548741906e-09,0.00075,0.00025,0
2,6.4491644820573e-09,0.00125,0.00025,0
3,1.2845951940318e-08,0.00175,0.00025,0
4,2.8862180256246e-08,0.00225,0.00025,0
5,6.1446166849122e-08,0.00275,0.00025,0
6,1.0623895792646e-07,0.00325,0.00025,0
7,1.6798310610403e-07,0.00375,0.00025,0
8,2.350676724375e-07,0.00425,0.00025,0
9,3.0764846187486e-07,0.00475,0.00025,0
10,3.7117734769818e-07,0.00525,0.00025,0
11,4.1464741367489e-07,0.00575,0.00025,0
12,4.2968600058226e-07,0.00625,0.00025,0
13,3.6370484450182e-07,0.00675,0.00025,0
14,3.3100255517364e-07,0.00725,0.00025,0
15,3.4160281193436e-07,0.00775,0.00025,0
16,2.8722974570032e-07,0.00825,0.00025,0
17,2.2945916719329e-07,0.00875,0.00025,0
18,1.6308544615161e-07,0.00925,0.00025,0
19,1.100716411115e-07,0.00975,0.00025,0
20,6.8855851234411e-08,0.01025,0.00025,0
21,3.9963004428182e-08,0.01075,0.00025,0
22,2.1093123751913e-08,0.01125,0.00025,0
23,8.3186732514537e-09,0.01175,0.00025,0
24,5.693653479573e-10,0.01225,0.00025,0
25,-4.5568876131639e-09,0.01275,0.00025,0
26,-7.2848553636275e-09,0.01325,0.00025,0
27,-8.1459342447604e-09,0.01375,0.00025,0
28,-8.112755121857e-09,0.01425,0.00025,0
29,-7.4267989076708e-09,0.01475,0.00025,0
30,-7.1671228715519e-09,0.01525,0.00025,0
31,-6.9329692275554e-09,0.01575,0.00025,0
32,-7.251542372714e-09,0.01625,0.00025,0
33,-7.2417920618338e-09,0.01675,0.00025,0
34,-7.3583137930788e-09,0.01725,0.00025,0
35,-7.1111291208787e-09,0.01775,0.00025,0
36,-6.7173499980381e-09,0.01825,0.00025,0
37,-6.0900885195306e-09,0.01875,0.00025,0
38,-5.2690977465416e-09,0.01925,0.00025,0
39,-4.3785159734425e-09,0.01975,0.00025,0
40,-3.2801026943768e-09,0.02025,0.00025,0
41,-2.3402594284787e-09,0.02075,0.00025,0
42,-1.2282847389959e-09,0.02125,0.00025,0
43,-6.0449913494785e-10,0.02175,0.00025,0
44,7.6181327654003e-11,0.02225,0.00025,0
45,4.4803535880503e-10,0.02275,0.00025,0
46,7.8805503364197e-10,0.02325,0.00025,0
47,1.0088185152634e-09,0.02375,0.00025,0
48,1.3513186555349e-09,0.02425,0.00025,0
49,1.6027029056176e-09,0.02475,0.00025,0
50,1.9526483421279e-09,0.02525,0.00025,0
51,2.2375449974606e-09,0.02575,0.00025,0
52,2.5802021709141e-09,0.02625,0.00025,0
53,2.9038927339513e-09,0.02675,0.00025,0
54,3.28928274889e-09,0.02725,0.00025,0
55,3.8232759878155e-09,0.02775,0.00025,0
56,4.5467286938351e-09,0.02825,0.00025,0
57,6.3455667488904e-09,0.02875,0.00025,0
58,7.4490387495403e-09,0.02925,0.00025,0
59,1.4758872347965e-08,0.02975,0.00025,0
60,7.8025632484317e-09,0.00025,0.00075,0
61,9.4020028569557e-09,0.00075,0.00075,0
62,3.0405751527039e-08,0.00125,0.00075,0
63,4.4508485165677e-08,0.00175,0.00075,0
64,5.957687451585e-08,0.00225,0.00075,0
65,6.9722530656984e-08,0.00275,0.00075,0
66,7.9850793700386e-08,0.00325,0.00075,0
67,8.0280753458879e-08,0.00375,0.00075,0
68,7.9949824874909e-08,0.00425,0.00075,0
69,6.9146852814939e-08,0.00475,0.00075,0
70,6.4170733192747e-08,0.00525,0.00075,0
71,6.1287488992141e-08,0.00575,0.00075,0
72,6.1482380494395e-08,0.00625,0.00075,0
73,2.7254983100795e-08,0.00675,0.00075,0
74,-3.7286348060468e-09,0.00725,0.00075,0
75,-4.0542628536602e-08,0.00775,0.00075,0
76,-5.4324410984611e-08,0.00825,0.00075,0
77,-5.6907968991457e-08,0.00875,0.00075,0
78,-5.0509630541642e-08,0.00925,0.00075,0
79,-4.5490532975481e-08,0.00975,0.00075,0
80,-4.0735612497669e-08,0.01025,0.00075,0
81,-3.5550252619092e-08,0.01075,0.00075,0
82,-3.1619565795243e-08,0.01125,0.00075,0
83,-2.6222354703087e-08,0.01175,0.00075,0
84,-2.1898773901498e-08,0.01225,0.00075,0
85,-1.7117790628232e-08,0.01275,0.00075,0
86,-1.3298665185455e-08,0.01325,0.00075,0
87,-9.8031405632342e-09,0.01375,0.00075,0
88,-7.1121932825432e-09,0.01425,0.00075,0
89,-5.7374046274057e-09,0.01475,0.00075,0
90,-5.0726990855487e-09,0.01525,0.00075,0
91,-4.6368102317894e-09,0.01575,0.00075,0
92,-4.1647355282278e-09,0.01625,0.00075,0
93,-3.8522903898636e-09,0.01675,0.00075,0
94,-3.3713179651578e-09,0.01725,0.00075,0
95,-3.0214961774423e-09,0.01775,0.00075,0
