x,y,z,value
0.015,0.0005,0,-41.785295562086
0.015,0.001,0,-51.4872228902633
0.015,0.0015,0,-21.2130918094358
0.015,0.002,0,43.2737714671127
0.015,0.0025,0,116.199743196088
0.015,0.003,0,159.115138899058
0.015,0.0035,0,135.658935895829
0.015,0.004,0,29.8055383723378
0.015,0.0045,0,-139.250839662279
0.015,0.005,0,-313.617839897269
0.015,0.0055,0,-402.422273695028
0.015,0.006,0,-335.798376109719
0.015,0.0065,0,-24.0256574246919
0.015,0.007,0,324.067123368365
0.015,0.0075,0,414.733091945573
0.015,0.008,0,-33.8420731021909
0.015,0.0085,0,-90.3796475089838
0.015,0.009,0,-208.276842076084
0.015,0.0095,0,-340.90745068834
0.015,0.01,0,-490.944428532234
0.015,0.0105,0,-512.357654461426
0.015,0.011,0,-544.912758377452
0.015,0.0115,0,-555.600504863537
0.015,0.012,0,-630.480984646945
0.015,0.0125,0,-696.491315225293
0.015,0.013,0,-883.357750873092
0.015,0.0135,0,-1001.87601281404
0.015,0.014,0,-1277.21672288074
0.015,0.0145,0,-1143.53268885569
0.015,0.015,0,-1093.58101752245
0.015,0.0155,0,-337.813882115698
0.015,0.016,0,197.722856954917
0.015,0.0165,0,276.225624631581
0.015,0.017,0,-279.731503465821
0.015,0.0175,0,-209.254808762216
0.015,0.018,0,-214.408015906767
0.015,0.0185,0,49.8988436980435
0.015,0.019,0,465.937022553207
0.015,0.0195,0,123.603082084475
0.015,0.02,0,132.464341214913
