id,integral_strain_stress1,x,y,z
0,4.2898482984732e-11,0.00025,0.00025,0
1,2.2535170041e-11,0.00075,0.00025,0
2,1.8769685771445e-11,0.00125,0.00025,0
3,1.3863435375607e-11,0.00175,0.00025,0
4,1.2299321624002e-11,0.00225,0.00025,0
5,1.002392808999e-11,0.00275,0.00025,0
6,6.9869906613939e-12,0.00325,0.00025,0
7,1.4139636597696e-12,0.00375,0.00025,0
8,-6.7319316933271e-12,0.00425,0.00025,0
9,-1.8769257501332e-11,0.00475,0.00025,0
10,-3.4900322289697e-11,0.00525,0.00025,0
11,-5.6630300868616e-11,0.00575,0.00025,0
12,-8.4668930497467e-11,0.00625,0.00025,0
13,-1.2095442307748e-10,0.00675,0.00025,0
14,-1.6684344286215e-10,0.00725,0.00025,0
15,-2.2447334548936e-10,0.00775,0.00025,0
16,-2.9566230758179e-10,0.00825,0.00025,0
17,-3.8188035271005e-10,0.00875,0.00025,0
18,-4.847766592802e-10,0.00925,0.00025,0
19,-6.0351958932248e-10,0.00975,0.00025,0
20,-7.3843604323979e-10,0.01025,0.00025,0
21,-8.8407135306164e-10,0.01075,0.00025,0
22,-1.0379450996698e-09,0.01125,0.00025,0
23,-1.1875895485621e-09,0.01175,0.00025,0
24,-1.3268512943149e-09,0.01225,0.00025,0
25,-1.4353185932097e-09,0.01275,0.00025,0
26,-1.5057645429823e-09,0.01325,0.00025,0
27,-1.5124655490692e-09,0.01375,0.00025,0
28,-1.4690107467333e-09,0.01425,0.00025,0
29,-1.3019650696072e-09,0.01475,0.00025,0
30,-1.3019650696071e-09,0.01525,0.00025,0
31,-1.4690107467331e-09,0.01575,0.00025,0
32,-1.512465549069e-09,0.01625,0.00025,0
33,-1.505764542982e-09,0.01675,0.00025,0
34,-1.4353185932092e-09,0.01725,0.00025,0
35,-1.3268512943145e-09,0.01775,0.00025,0
36,-1.1875895485617e-09,0.01825,0.00025,0
37,-1.0379450996694e-09,0.01875,0.00025,0
38,-8.8407135306148e-10,0.01925,0.00025,0
39,-7.3843604323964e-10,0.01975,0.00025,0
40,-6.0351958932243e-10,0.02025,0.00025,0
41,-4.8477665928017e-10,0.02075,0.00025,0
42,-3.8188035271009e-10,0.02125,0.00025,0
43,-2.9566230758186e-10,0.02175,0.00025,0
44,-2.2447334548937e-10,0.02225,0.00025,0
45,-1.6684344286211e-10,0.02275,0.00025,0
46,-1.2095442307745e-10,0.02325,0.00025,0
47,-8.4668930497436e-11,0.02375,0.00025,0
48,-5.6630300868598e-11,0.02425,0.00025,0
49,-3.4900322289692e-11,0.02475,0.00025,0
50,-1.8769257501324e-11,0.02525,0.00025,0
51,-6.7319316933266e-12,0.02575,0.00025,0
52,1.4139636597729e-12,0.02625,0.00025,0
53,6.9869906614012e-12,0.02675,0.00025,0
54,1.0023928090001e-11,0.02725,0.00025,0
55,1.2299321624017e-11,0.02775,0.00025,0
56,1.3863435375626e-11,0.02825,0.00025,0
57,1.8769685771468e-11,0.02875,0.00025,0
58,2.2535170041024e-11,0.02925,0.00025,0
59,4.2898482984769e-11,0.02975,0.00025,0
60,2.4965349663898e-11,0.00025,0.00075,0
61,7.0155975503054e-12,0.00075,0.00075,0
62,1.1553525896482e-11,0.00125,0.00075,0
63,8.6118860009378e-12,0.00175,0.00075,0
64,5.4689845569673e-12,0.00225,0.00075,0
65,2.057592141075e-12,0.00275,0.00075,0
66,-2.2756462237472e-12,0.00325,0.00075,0
67,-7.2098291541617e-12,0.00375,0.00075,0
68,-1.4424501298619e-11,0.00425,0.00075,0
69,-2.331999454848e-11,0.00475,0.00075,0
70,-3.5924696102097e-11,0.00525,0.00075,0
71,-5.156200668613e-11,0.00575,0.00075,0
72,-7.2661357129003e-11,0.00625,0.00075,0
73,-9.8681412025217e-11,0.00675,0.00075,0
74,-1.324348226031e-10,0.00725,0.00075,0
75,-1.7363181583778e-10,0.00775,0.00075,0
76,-2.2512343798221e-10,0.00825,0.00075,0
77,-2.8684770229262e-10,0.00875,0.00075,0
78,-3.6088343887217e-10,0.00925,0.00075,0
79,-4.4723320692746e-10,0.00975,0.00075,0
80,-5.4589943636326e-10,0.01025,0.00075,0
81,-6.5672128917556e-10,0.01075,0.00075,0
82,-7.7604990582423e-10,0.01125,0.00075,0
83,-9.0352436100051e-10,0.01175,0.00075,0
84,-1.0307053105991e-09,0.01225,0.00075,0
85,-1.1577178500595e-09,0.01275,0.00075,0
86,-1.2715954288208e-09,0.01325,0.00075,0
87,-1.3731149856104e-09,0.01375,0.00075,0
88,-1.4303992473297e-09,0.01425,0.00075,0
89,-1.24086272347e-09,0.01475,0.00075,0
90,-1.2408627234698e-09,0.01525,0.00075,0
91,-1.4303992473296e-09,0.01575,0.00075,0
92,-1.3731149856104e-09,0.01625,0.00075,0
93,-1.2715954288203e-09,0.01675,0.00075,0
94,-1.1577178500594e-09,0.01725,0.00075,0
95,-1.030705310599e-09,0.01775,0.00075,0
96,-9.0352436100048e-10,0.01825,0.00075,0
97,-7.7604990582416e-10,0.01875,0.00075,0
98,-6.5672128917552e-10,0.01925,0.00075,0
99,-5.4589943636292e-10,0.01975,0.00075,0
100,-4.4723320692715e-10,0.02025,0.00075,0
101,-3.6088343887202e-10,0.02075,0.00075,0
102,-2.8684770229251e-10,0.02125,0.00075,0
103,-2.2512343798218e-10,0.02175,0.00075,0
104,-1.7363181583785e-10,0.02225,0.00075,0
105,-1.3243482260313e-10,0.02275,0.00075,0
106,-9.8681412025206e-11,0.02325,0.00075,0
107,-7.2661357128968e-11,0.02375,0.00075,0
108,-5.156200668612e-11,0.02425,0.00075,0
109,-3.5924696102071e-11,0.02475,0.00075,0
110,-2.3319994548467e-11,0.02525,0.00075,0
111,-1.4424501298608e-11,0.02575,0.00075,0
112,-7.2098291541537e-12,0.02625,0.00075,0
113,-2.2756462237372e-12,0.02675,0.00075,0
114,2.0575921410832e-12,0.02725,0.00075,0
115,5.4689845569751e-12,0.02775,0.00075,0
116,8.6118860009419e-12,0.02825,0.00075,0
117,1.1553525896485e-11,0.02875,0.00075,0
118,7.0155975503096e-12,0.02925,0.00075,0
119,2.4965349663919e-11,0.02975,0.00075,0
120,2.5988513754879e-11,0.00025,0.00125,0
121,1.0600411777872e-11,0.00075,0.00125,0
122,6.5004032390847e-12,0.00125,0.00125,0
123,3.2076320020637e-12,0.00175,0.00125,0
124,-2.5035647310505e-12,0.00225,0.00125,0
125,-8.5222797499118e-12,0.00275,0.00125,0
126,-1.3954969571144e-11,0.00325,0.00125,0
127,-1.9967837743523e-11,0.00375,0.00125,0
128,-2.5619936799236e-11,0.00425,0.00125,0
129,-3.3184605414811e-11,0.00475,0.00125,0
130,-4.1314858240519e-11,0.00525,0.00125,0
131,-5.2765156118525e-11,0.00575,0.00125,0
132,-6.5823850244742e-11,0.00625,0.00125,0
133,-8.3625611281254e-11,0.00675,0.00125,0
134,-1.0429691696556e-10,0.00725,0.00125,0
135,-1.3125673378962e-10,0.00775,0.00125,0
136,-1.6276163530627e-10,0.00825,0.00125,0
137,-2.0222337904633e-10,0.00875,0.00125,0
138,-2.4846508381945e-10,0.00925,0.00125,0
139,-3.043390631138e-10,0.00975,0.00125,0
140,-3.6989628934817e-10,0.01025,0.00125,0
141,-4.46626373372e-10,0.01075,0.00125,0
142,-5.3658931545669e-10,0.01125,0.00125,0
143,-6.388355986562e-10,0.01175,0.00125,0
144,-7.5735627409581e-10,0.01225,0.00125,0
145,-8.864340730356e-10,0.01275,0.00125,0
146,-1.0249532877996e-09,0.01325,0.00125,0
147,-1.1477631574005e-09,0.01375,0.00125,0
148,-1.1677128351936e-09,0.01425,0.00125,0
149,-9.5132244133536e-10,0.01475,0.00125,0
150,-9.5132244133499e-10,0.01525,0.00125,0
151,-1.1677128351938e-09,0.01575,0.00125,0
152,-1.1477631574011e-09,0.01625,0.00125,0
153,-1.0249532877995e-09,0.01675,0.00125,0
154,-8.8643407303548e-10,0.01725,0.00125,0
155,-7.5735627409578e-10,0.01775,0.00125,0
156,-6.3883559865592e-10,0.01825,0.00125,0
157,-5.365893154563e-10,0.01875,0.00125,0
158,-4.4662637337182e-10,0.01925,0.00125,0
159,-3.6989628934792e-10,0.01975,0.00125,0
160,-3.0433906311368e-10,0.02025,0.00125,0
161,-2.4846508381932e-10,0.02075,0.00125,0
162,-2.0222337904618e-10,0.02125,0.00125,0
163,-1.6276163530619e-10,0.02175,0.00125,0
164,-1.3125673378963e-10,0.02225,0.00125,0
165,-1.042969169655e-10,0.02275,0.00125,0
166,-8.362561128123e-11,0.02325,0.00125,0
167,-6.582385024474e-11,0.02375,0.00125,0
168,-5.2765156118518e-11,0.02425,0.00125,0
169,-4.1314858240493e-11,0.02475,0.00125,0
170,-3.3184605414796e-11,0.02525,0.00125,0
171,-2.5619936799229e-11,0.02575,0.00125,0
172,-1.9967837743522e-11,0.02625,0.00125,0
173,-1.3954969571139e-11,0.02675,0.00125,0
174,-8.5222797499031e-12,0.02725,0.00125,0
175,-2.5035647310466e-12,0.02775,0.00125,0
176,3.2076320020629e-12,0.02825,0.00125,0
177,6.5004032390831e-12,0.02875,0.00125,0
178,1.0600411777876e-11,0.02925,0.00125,0
179,2.5988513754887e-11,0.02975,0.00125,0
180,2.1895320563896e-11,0.00025,0.00175,0
181,1.0762749583759e-11,0.00075,0.00175,0
182,5.5365251265636e-12,0.00125,0.00175,0
183,-1.7529634170923e-13,0.00175,0.00175,0
184,-7.9842106428025e-12,0.00225,0.00175,0
185,-1.5939975311796e-11,0.00275,0.00175,0
186,-2.3864989971119e-11,0.00325,0.00175,0
187,-3.0121047943178e-11,0.00375,0.00175,0
188,-3.6774719546053e-11,0.00425,0.00175,0
189,-4.2135501625283e-11,0.00475,0.00175,0
190,-4.924048207062e-11,0.00525,0.00175,0
191,-5.5759072850612e-11,0.00575,0.00175,0
192,-6.5193383231459e-11,0.00625,0.00175,0
193,-7.4564972381509e-11,0.00675,0.00175,0
194,-8.7729464631704e-11,0.00725,0.00175,0
195,-1.0137496291464e-10,0.00775,0.00175,0
196,-1.1965326415359e-10,0.00825,0.00175,0
197,-1.3956067750314e-10,0.00875,0.00175,0
198,-1.6540450365304e-10,0.00925,0.00175,0
199,-1.9558677664214e-10,0.00975,0.00175,0
200,-2.3425414057985e-10,0.01025,0.00175,0
201,-2.8268527958175e-10,0.01075,0.00175,0
202,-3.4405107431007e-10,0.01125,0.00175,0
203,-4.2323319086677e-10,0.01175,0.00175,0
204,-5.1965510317026e-10,0.01225,0.00175,0
205,-6.3682651302966e-10,0.01275,0.00175,0
206,-7.589357454254e-10,0.01325,0.00175,0
207,-8.5516308648493e-10,0.01375,0.00175,0
