x,y,z,value
0.015,0.0005,0,0.0128071061882054
0.015,0.001,0,0.0398989633080191
0.015,0.0015,0,0.0350537216412903
0.015,0.002,0,0.0561360611114594
0.015,0.0025,0,0.0431411797723058
0.015,0.003,0,0.0590948960433479
0.015,0.0035,0,0.0370842764731378
0.015,0.004,0,0.0483859770612867
0.015,0.0045,0,0.0159508170529534
0.015,0.005,0,0.0223104436320796
0.015,0.0055,0,-0.0225435198785249
0.015,0.006,0,-0.022780251697327
0.015,0.0065,0,-0.0820769303917359
0.015,0.007,0,-0.0925523613933024
0.015,0.0075,0,-0.165274038696509
0.015,0.008,0,-0.18865086165664
0.015,0.0085,0,-0.257807295648718
0.015,0.009,0,-0.257344076865763
0.015,0.0095,0,-0.253928441805215
0.015,0.01,0,0.193839754574469
0.015,0.0105,0,-0.276740451341141
0.015,0.011,0,0.0899589954036628
0.015,0.0115,0,0.146400828476885
0.015,0.012,0,0.391581415216365
0.015,0.0125,0,0.579740202664141
0.015,0.013,0,0.523882722947405
0.015,0.0135,0,0.175928997969606
0.015,0.014,0,0.0680574884306111
0.015,0.0145,0,-0.0155065151381564
0.015,0.015,0,-0.20954991139314
0.015,0.0155,0,-0.151996800404248
0.015,0.016,0,-0.133302948637208
0.015,0.0165,0,-0.191304145535781
0.015,0.017,0,-0.297633141669507
0.015,0.0175,0,-0.391269703096341
0.015,0.018,0,-0.130716274867041
0.015,0.0185,0,-0.39205035637567
0.015,0.019,0,-0.169008821143979
0.015,0.0195,0,-0.226972740959994
0.015,0.02,0,-0.107649902016149
