id,uxi,x,y,z
0,-1.2149727091753e-08,0.023,0.0005,0
0.0005,-1.0135551466956e-07,0.023,0.001,0
0.001,-1.9433476817405e-07,0.023,0.0015,0
0.0015,-3.3438843704033e-07,0.023,0.002,0
0.002,-4.2572562787713e-07,0.023,0.0025,0
0.0025,-5.2523640640989e-07,0.023,0.003,0
0.003,-5.4494448410144e-07,0.023,0.0035,0
0.0035,-5.7309852084035e-07,0.023,0.004,0
0.004,-5.2953116599805e-07,0.023,0.0045,0
0.0045,-5.3175390799932e-07,0.023,0.005,0
0.005,-4.821412416775e-07,0.023,0.0055,0
0.0055,-5.1025758470144e-07,0.023,0.006,0
0.006,-4.8688261763914e-07,0.023,0.0065,0
0.0065,-5.5674233494471e-07,0.023,0.007,0
0.007,-5.5810472446381e-07,0.023,0.0075,0
0.0075,-6.5946539656238e-07,0.023,0.008,0
0.008,-6.5990136356202e-07,0.023,0.0085,0
0.0085,-7.6131010839068e-07,0.023,0.009,0
0.009,-7.1325075944167e-07,0.023,0.0095,0
0.0095,-7.6917996567315e-07,0.023,0.01,0
0.01,-6.2014831454304e-07,0.023,0.0105,0
0.0105,-5.9796008513745e-07,0.023,0.011,0
0.011,-3.2922757550028e-07,0.023,0.0115,0
0.0115,-2.7617345237625e-07,0.023,0.012,0
0.012,-7.0371136462432e-09,0.023,0.0125,0
0.0125,-1.6763033119267e-07,0.023,0.013,0
0.013,-2.0648762860453e-07,0.023,0.0135,0
0.0135,-9.5159231495731e-07,0.023,0.014,0
0.014,-1.57203605104e-06,0.023,0.0145,0
0.0145,-3.0455292417599e-06,0.023,0.015,0
0.015,-4.0931379850286e-06,0.023,0.0155,0
0.0155,-5.8250170718368e-06,0.023,0.016,0
0.016,-6.3730282758917e-06,0.023,0.0165,0
0.0165,-7.1574540878163e-06,0.023,0.017,0
0.017,-5.6572058090596e-06,0.023,0.0175,0
0.0175,-3.8904603459487e-06,0.023,0.018,0
0.018,1.3808877786516e-06,0.023,0.0185,0
0.0185,6.8626388985647e-06,0.023,0.019,0
0.019,1.6651027007238e-05,0.023,0.0195,0
0.0195,2.5005415666747e-05,0.023,0.02,0
