x,y,z,value
0.015,0.0005,0,-15.3282665531075
0.015,0.001,0,-22.5524503416011
0.015,0.0015,0,-19.20478736178
0.015,0.002,0,0.438253642665238
0.015,0.0025,0,28.4745658475714
0.015,0.003,0,63.0303825336211
0.015,0.0035,0,90.0198057735098
0.015,0.004,0,106.415969765722
0.015,0.0045,0,101.294928604213
0.015,0.005,0,80.641049648735
0.015,0.0055,0,43.685227848753
0.015,0.006,0,7.67140049229658
0.015,0.0065,0,-22.8537882773131
0.015,0.007,0,-29.3929007072491
0.015,0.0075,0,-15.745924570315
0.015,0.008,0,26.0332999313636
0.015,0.0085,0,75.4915813688139
0.015,0.009,0,129.811916721401
0.015,0.0095,0,158.964902649852
0.015,0.01,0,165.723131552608
0.015,0.0105,0,128.756272672656
0.015,0.011,0,74.5256799493198
0.015,0.0115,0,-1.86870367586295
0.015,0.012,0,-52.5819343554949
0.015,0.0125,0,-84.6478032077061
0.015,0.013,0,-51.0697187697649
0.015,0.0135,0,11.3536585666496
0.015,0.014,0,130.207412750723
0.015,0.0145,0,228.662924386605
0.015,0.015,0,333.336619203801
0.015,0.0155,0,351.568299444464
0.015,0.016,0,344.548726996029
0.015,0.0165,0,234.154923771382
0.015,0.017,0,155.239455034399
0.015,0.0175,0,25.7067235736571
0.015,0.018,0,7.79328396258063
0.015,0.0185,0,-40.8146494474061
0.015,0.019,0,99.6038566900798
0.015,0.0195,0,144.570135860888
0.015,0.02,0,246.992804922178
