id,uxr,x,y,z
0,2.5812712191986e-07,0.023,0.0005,0
0.0005,1.8096521620807e-07,0.023,0.001,0
0.001,1.5087150050843e-07,0.023,0.0015,0
0.0015,2.7838698543488e-07,0.023,0.002,0
0.002,4.4873335632135e-07,0.023,0.0025,0
0.0025,7.9093054546999e-07,0.023,0.003,0
0.003,1.1679996833858e-06,0.023,0.0035,0
0.0035,1.7094787779988e-06,0.023,0.004,0
0.004,2.2356266992715e-06,0.023,0.0045,0
0.0045,2.8902788950027e-06,0.023,0.005,0
0.005,3.4882650333152e-06,0.023,0.0055,0
0.0055,4.2452777204638e-06,0.023,0.006,0
0.006,4.9959452093612e-06,0.023,0.0065,0
0.0065,6.0360447131666e-06,0.023,0.007,0
0.007,7.1998949490622e-06,0.023,0.0075,0
0.0075,8.8439313860093e-06,0.023,0.008,0
0.008,1.0756146789916e-05,0.023,0.0085,0
0.0085,1.3313797523338e-05,0.023,0.009,0
0.009,1.6209697211049e-05,0.023,0.0095,0
0.0095,1.9871665923383e-05,0.023,0.01,0
0.01,2.3906328523498e-05,0.023,0.0105,0
0.0105,2.8826195010711e-05,0.023,0.011,0
0.011,3.3924795760538e-05,0.023,0.0115,0
0.0115,3.9639405841253e-05,0.023,0.012,0
0.012,4.4888813100635e-05,0.023,0.0125,0
0.0125,5.0402554938489e-05,0.023,0.013,0
0.013,5.4845928680044e-05,0.023,0.0135,0
0.0135,5.895969842485e-05,0.023,0.014,0
0.014,6.089044416441e-05,0.023,0.0145,0
0.0145,6.2129309542055e-05,0.023,0.015,0
0.015,6.044708563877e-05,0.023,0.0155,0
0.0155,5.7711565682956e-05,0.023,0.016,0
0.016,5.1249523590657e-05,0.023,0.0165,0
0.0165,4.4037593396616e-05,0.023,0.017,0
0.017,3.2756698956828e-05,0.023,0.0175,0
0.0175,2.1536834729911e-05,0.023,0.018,0
0.018,6.2464185303158e-06,0.023,0.0185,0
0.0185,-7.106738376478e-06,0.023,0.019,0
0.019,-2.4035907268462e-05,0.023,0.0195,0
0.0195,-3.553781895594e-05,0.023,0.02,0
