id,integral_strain_stress,x,y,z
0,1.8536501524014e-09,0.00025,0.00025,0
1,8.8511602241535e-10,0.00075,0.00025,0
2,5.0826222014991e-10,0.00125,0.00025,0
3,-5.3040139355282e-10,0.00175,0.00025,0
4,-1.2521904547078e-09,0.00225,0.00025,0
5,-2.1145841523717e-09,0.00275,0.00025,0
6,-2.4619367534978e-09,0.00325,0.00025,0
7,-2.3605080090245e-09,0.00375,0.00025,0
8,-1.637807905737e-09,0.00425,0.00025,0
9,-5.7772819672581e-10,0.00475,0.00025,0
10,5.4408874887865e-10,0.00525,0.00025,0
11,1.3334433351299e-09,0.00575,0.00025,0
12,1.5691483953992e-09,0.00625,0.00025,0
13,1.2462644604411e-09,0.00675,0.00025,0
14,6.6516882948115e-10,0.00725,0.00025,0
15,-1.0194699991439e-10,0.00775,0.00025,0
16,-1.1284807426135e-09,0.00825,0.00025,0
17,-4.1009213578921e-09,0.00875,0.00025,0
18,-1.0930400915027e-08,0.00925,0.00025,0
19,-2.5711798191061e-08,0.00975,0.00025,0
20,-4.9939333649569e-08,0.01025,0.00025,0
21,-8.5579020579638e-08,0.01075,0.00025,0
22,-1.2583251667596e-07,0.01125,0.00025,0
23,-1.6432086576009e-07,0.01175,0.00025,0
24,-1.8113158276721e-07,0.01225,0.00025,0
25,-1.697240056432e-07,0.01275,0.00025,0
26,-1.0874390397451e-07,0.01325,0.00025,0
27,-3.5060070248376e-08,0.01375,0.00025,0
28,5.8052531372633e-08,0.01425,0.00025,0
29,3.8152948265236e-08,0.01475,0.00025,0
30,3.8152948265267e-08,0.01525,0.00025,0
31,5.8052531372684e-08,0.01575,0.00025,0
32,-3.5060070248345e-08,0.01625,0.00025,0
33,-1.0874390397451e-07,0.01675,0.00025,0
34,-1.6972400564327e-07,0.01725,0.00025,0
35,-1.8113158276744e-07,0.01775,0.00025,0
36,-1.6432086576045e-07,0.01825,0.00025,0
37,-1.2583251667636e-07,0.01875,0.00025,0
38,-8.5579020579992e-08,0.01925,0.00025,0
39,-4.9939333649833e-08,0.01975,0.00025,0
40,-2.571179819124e-08,0.02025,0.00025,0
41,-1.0930400915138e-08,0.02075,0.00025,0
42,-4.1009213579635e-09,0.02125,0.00025,0
43,-1.1284807426626e-09,0.02175,0.00025,0
44,-1.0194699995105e-10,0.02225,0.00025,0
45,6.651688294565e-10,0.02275,0.00025,0
46,1.2462644604317e-09,0.02325,0.00025,0
47,1.5691483954056e-09,0.02375,0.00025,0
48,1.3334433351471e-09,0.02425,0.00025,0
49,5.4408874889787e-10,0.02475,0.00025,0
50,-5.7772819671409e-10,0.02525,0.00025,0
51,-1.6378079057389e-09,0.02575,0.00025,0
52,-2.3605080090402e-09,0.02625,0.00025,0
53,-2.4619367535227e-09,0.02675,0.00025,0
54,-2.1145841523988e-09,0.02725,0.00025,0
55,-1.25219045473e-09,0.02775,0.00025,0
56,-5.3040139356802e-10,0.02825,0.00025,0
57,5.0826222014364e-10,0.02875,0.00025,0
58,8.8511602241499e-10,0.02925,0.00025,0
