id,uxi,x,y,z
0,-1.1411537692303e-07,0.022,0.0005,0
0.0005,-2.6817480364636e-07,0.022,0.001,0
0.001,-3.4274165452156e-07,0.022,0.0015,0
0.0015,-3.7610105652253e-07,0.022,0.002,0
0.002,-3.2805255276586e-07,0.022,0.0025,0
0.0025,-3.0415343839509e-07,0.022,0.003,0
0.003,-2.5491038601212e-07,0.022,0.0035,0
0.0035,-2.5698123663624e-07,0.022,0.004,0
0.004,-2.1998751296136e-07,0.022,0.0045,0
0.0045,-2.3593735908648e-07,0.022,0.005,0
0.005,-2.3033112622082e-07,0.022,0.0055,0
0.0055,-3.2439934429983e-07,0.022,0.006,0
0.006,-3.9759125930304e-07,0.022,0.0065,0
0.0065,-5.3041212383346e-07,0.022,0.007,0
0.007,-5.1697600088655e-07,0.022,0.0075,0
0.0075,-4.6439419199286e-07,0.022,0.008,0
0.008,-2.1766885219295e-07,0.022,0.0085,0
0.0085,-8.7599231480362e-08,0.022,0.009,0
0.009,-1.0306357043483e-08,0.022,0.0095,0
0.0095,-3.4881587488954e-07,0.022,0.01,0
0.01,-7.5935053523874e-07,0.022,0.0105,0
0.0105,-1.3377037341139e-06,0.022,0.011,0
0.011,-1.3711363647997e-06,0.022,0.0115,0
0.0115,-1.0727785362305e-06,0.022,0.012,0
0.012,-3.3524232096376e-08,0.022,0.0125,0
0.0125,7.6753502266382e-07,0.022,0.013,0
0.013,1.4022881455774e-06,0.022,0.0135,0
0.0135,6.5929293077983e-07,0.022,0.014,0
0.014,-7.5305336907845e-07,0.022,0.0145,0
0.0145,-3.2225606747332e-06,0.022,0.015,0
0.015,-4.7482695222081e-06,0.022,0.0155,0
0.0155,-5.0784652096586e-06,0.022,0.016,0
0.016,-2.3263180806147e-06,0.022,0.0165,0
0.0165,2.0740334337752e-06,0.022,0.017,0
0.017,8.0111794823392e-06,0.022,0.0175,0
0.0175,1.0758715375066e-05,0.022,0.018,0
0.018,8.2612123024439e-06,0.022,0.0185,0
0.0185,-5.209285893775e-06,0.022,0.019,0
0.019,-2.1953693641868e-05,0.022,0.0195,0
0.0195,-3.6525365176118e-05,0.022,0.02,0
