id,uxr,x,y,z
0,1.1161070455509e-07,0.022,0.0005,0
0.0005,1.3593165924153e-07,0.022,0.001,0
0.001,2.2816823830481e-08,0.022,0.0015,0
0.0015,-4.2610522842783e-08,0.022,0.002,0
0.002,-1.1899191456723e-07,0.022,0.0025,0
0.0025,-6.4614653196746e-08,0.022,0.003,0
0.003,-3.1327573497937e-08,0.022,0.0035,0
0.0035,8.999116857343e-08,0.022,0.004,0
0.004,1.0580315650522e-07,0.022,0.0045,0
0.0045,1.6327679863265e-07,0.022,0.005,0
0.005,7.4114536173474e-08,0.022,0.0055,0
0.0055,6.7233405721842e-08,0.022,0.006,0
0.006,-3.7362976447269e-08,0.022,0.0065,0
0.0065,5.5682379155497e-08,0.022,0.007,0
0.007,9.1788551145969e-08,0.022,0.0075,0
0.0075,3.4954440367366e-07,0.022,0.008,0
0.008,4.0193900314714e-07,0.022,0.0085,0
0.0085,5.2753620272015e-07,0.022,0.009,0
0.009,2.4880985911922e-07,0.022,0.0095,0
0.0095,1.1450488172198e-07,0.022,0.01,0
0.01,-2.2957738024137e-07,0.022,0.0105,0
0.0105,4.3431499811208e-08,0.022,0.011,0
0.011,3.3841574007835e-07,0.022,0.0115,0
0.0115,1.2784607734305e-06,0.022,0.012,0
0.012,1.6322655318713e-06,0.022,0.0125,0
0.0125,1.9462693367969e-06,0.022,0.013,0
0.013,1.0039754576146e-06,0.022,0.0135,0
0.0135,1.2097675122165e-07,0.022,0.014,0
0.014,-1.3580896163159e-06,0.022,0.0145,0
0.0145,-1.203249210664e-06,0.022,0.015,0
0.015,-3.6006082946268e-07,0.022,0.0155,0
0.0155,2.9856557317574e-06,0.022,0.016,0
0.016,5.8357687587573e-06,0.022,0.0165,0
0.0165,8.9916413259599e-06,0.022,0.017,0
0.017,7.5434625173332e-06,0.022,0.0175,0
0.0175,3.6039087514999e-06,0.022,0.018,0
0.018,-6.9031862858918e-06,0.022,0.0185,0
0.0185,-1.3301095221305e-05,0.022,0.019,0
0.019,-1.3614588492735e-05,0.022,0.0195,0
0.0195,5.9597231489809e-06,0.022,0.02,0
