x,y,z,value
0.015,0.0005,0,0.00282900581076733
0.015,0.001,0,0.0036979101762013
0.015,0.0015,0,0.0033717987494189
0.015,0.002,0,0.00169883223877583
0.015,0.0025,0,-0.0009191527301665
0.015,0.003,0,-0.0037412853521741
0.015,0.0035,0,-0.0057205085498636
0.015,0.004,0,-0.0060064122827402
0.015,0.0045,0,-0.0041192427207438
0.015,0.005,0,-0.0003766487808035
0.015,0.0055,0,0.00422552728355514
0.015,0.006,0,0.008096460711775
0.015,0.0065,0,0.0096084585972977
0.015,0.007,0,0.0077104583581155
0.015,0.0075,0,0.0024353942950108
0.015,0.008,0,-0.0047684495942079
0.015,0.0085,0,-0.00752450937067453
0.015,0.009,0,-0.0098268075145166
0.015,0.0095,0,-0.0109847606930179
0.015,0.01,0,-0.010603140416583
0.015,0.0105,0,-0.0084917030924227
0.015,0.011,0,-0.0047744649713542
0.015,0.0115,0,0.000168641825608
0.015,0.012,0,0.0057165395160421
0.015,0.0125,0,0.0111020264317446
0.015,0.013,0,0.0154658652393419
0.015,0.0135,0,0.0180686483196107
0.015,0.014,0,0.0183206576261448
0.015,0.0145,0,0.0160185253125576
0.015,0.015,0,0.0112692592182043
0.015,0.0155,0,0.004676626584068
0.015,0.016,0,-0.002919687349807
0.015,0.0165,0,-0.010318359753274
0.015,0.017,0,-0.016418454261519
0.015,0.0175,0,-0.0200708425383254
0.015,0.018,0,-0.0206868982509914
0.015,0.0185,0,-0.0179004852336256
0.015,0.019,0,-0.012251425850292
0.015,0.0195,0,-0.004465851548464
0.015,0.02,0,0.003784910528909
0.015,0.0205,0,0.011121946271831
0.015,0.021,0,0.015469070502493
0.015,0.0215,0,0.015966201843651
0.015,0.022,0,0.011198739942213
