id,uxr,x,y,z
0,-1.2768844638039e-05,0.015,0.0005,0
0.0005,-2.3250699985933e-05,0.015,0.001,0
0.001,-3.1860563622602e-05,0.015,0.0015,0
0.0015,-3.813840670579e-05,0.015,0.002,0
0.002,-4.1887457167102e-05,0.015,0.0025,0
0.0025,-4.2853846183557e-05,0.015,0.003,0
0.003,-4.1072372675134e-05,0.015,0.0035,0
0.0035,-3.6522424752503e-05,0.015,0.004,0
0.004,-2.9474901042888e-05,0.015,0.0045,0
0.0045,-2.0131531173131e-05,0.015,0.005,0
0.005,-8.9504590442296e-06,0.015,0.0055,0
0.0055,3.685220115996e-06,0.015,0.006,0
0.006,1.7246826281015e-05,0.015,0.0065,0
0.0065,3.1189203904026e-05,0.015,0.007,0
0.007,4.4799370077505e-05,0.015,0.0075,0
0.0075,5.7412926269112e-05,0.015,0.008,0
0.008,6.0078290858195e-05,0.015,0.0085,0
0.0085,6.2310217596093e-05,0.015,0.009,0
0.009,6.3684337243871e-05,0.015,0.0095,0
0.0095,6.4309610327751e-05,0.015,0.01,0
0.01,6.3941352091679e-05,0.015,0.0105,0
0.0105,6.2786616821718e-05,0.015,0.011,0
0.011,6.0685177022337e-05,0.015,0.0115,0
0.0115,5.7921529156705e-05,0.015,0.012,0
0.012,5.4249440194065e-05,0.015,0.0125,0
0.0125,5.005120014722e-05,0.015,0.013,0
0.013,4.5024818699212e-05,0.015,0.0135,0
0.0135,3.9730304097726e-05,0.015,0.014,0
0.014,3.3768075970093e-05,0.015,0.0145,0
0.0145,2.7820213458972e-05,0.015,0.015,0
0.015,2.1289749126004e-05,0.015,0.0155,0
0.0155,1.5019878244931e-05,0.015,0.016,0
0.016,8.2218591494518e-06,0.015,0.0165,0
0.0165,2.0647970218533e-06,0.015,0.017,0
0.017,-4.4165114874528e-06,0.015,0.0175,0
0.0175,-9.714969635133e-06,0.015,0.018,0
0.018,-1.5222095579003e-05,0.015,0.0185,0
0.0185,-1.8962551309139e-05,0.015,0.019,0
0.019,-2.3006548403739e-05,0.015,0.0195,0
0.0195,-2.4357951759718e-05,0.015,0.02,0
