id,uxi,x,y,z
0,-3.1049374483582e-05,0.015,0.0005,0
0.0005,-5.5347172008498e-05,0.015,0.001,0
0.001,-7.0708181301161e-05,0.015,0.0015,0
0.0015,-7.5464474217404e-05,0.015,0.002,0
0.002,-6.917331050542e-05,0.015,0.0025,0
0.0025,-5.2806629234496e-05,0.015,0.003,0
0.003,-2.8564589438723e-05,0.015,0.0035,0
0.0035,3.0232728078616e-07,0.015,0.004,0
0.004,2.9913675648045e-05,0.015,0.0045,0
0.0045,5.6243889883696e-05,0.015,0.005,0
0.005,7.5500124480207e-05,0.015,0.0055,0
0.0055,8.4840782477978e-05,0.015,0.006,0
0.006,8.2202174665549e-05,0.015,0.0065,0
0.0065,6.744774220804e-05,0.015,0.007,0
0.007,4.1702028705134e-05,0.015,0.0075,0
0.0075,7.8511444511262e-06,0.015,0.008,0
0.008,-2.2584158494403e-06,0.015,0.0085,0
0.0085,-1.271034356349e-05,0.015,0.009,0
0.009,-2.2360497923657e-05,0.015,0.0095,0
0.0095,-3.0614305207208e-05,0.015,0.01,0
0.01,-3.6865449635393e-05,0.015,0.0105,0
0.0105,-4.0803840270239e-05,0.015,0.011,0
0.011,-4.2249519159152e-05,0.015,0.0115,0
0.0115,-4.1124386785898e-05,0.015,0.012,0
0.012,-3.7371060352625e-05,0.015,0.0125,0
0.0125,-3.1117237050839e-05,0.015,0.013,0
0.013,-2.2557421874288e-05,0.015,0.0135,0
0.0135,-1.2214869460738e-05,0.015,0.014,0
0.014,-5.0610002576473e-07,0.015,0.0145,0
0.0145,1.1913695266432e-05,0.015,0.015,0
0.015,2.4670765895203e-05,0.015,0.0155,0
0.0155,3.7055823011722e-05,0.015,0.016,0
0.016,4.8595747683561e-05,0.015,0.0165,0
0.0165,5.8297276988624e-05,0.015,0.017,0
0.017,6.5525588453746e-05,0.015,0.0175,0
0.0175,6.9418007121921e-05,0.015,0.018,0
0.018,6.9670164241564e-05,0.015,0.0185,0
0.0185,6.567373927868e-05,0.015,0.019,0
0.019,5.7455674560963e-05,0.015,0.0195,0
0.0195,4.4458918123193e-05,0.015,0.02,0
