id,integral_strain_stress2,x,y,z
0,2.8230400086163e-07,0.00025,0.00025,0
1,-1.355060377021e-07,0.00075,0.00025,0
2,-3.416875203467e-07,0.00125,0.00025,0
3,-5.4960992690344e-07,0.00175,0.00025,0
4,-6.8110415196712e-07,0.00225,0.00025,0
5,-8.0486596067881e-07,0.00275,0.00025,0
6,-8.3394665798594e-07,0.00325,0.00025,0
7,-9.0302594828635e-07,0.00375,0.00025,0
8,-8.5795321989693e-07,0.00425,0.00025,0
9,-8.9906806618245e-07,0.00475,0.00025,0
10,-8.0004032461735e-07,0.00525,0.00025,0
11,-8.1255820009307e-07,0.00575,0.00025,0
12,-6.4966257998674e-07,0.00625,0.00025,0
13,-6.2116268676926e-07,0.00675,0.00025,0
14,-3.887264238316e-07,0.00725,0.00025,0
15,-3.1858908688066e-07,0.00775,0.00025,0
16,-2.0915156566435e-08,0.00825,0.00025,0
17,8.309559860085e-08,0.00875,0.00025,0
18,4.3964136167577e-07,0.00925,0.00025,0
19,5.6493435031588e-07,0.00975,0.00025,0
20,9.7982247478226e-07,0.01025,0.00025,0
21,1.1080168821013e-06,0.01075,0.00025,0
22,1.5922574924813e-06,0.01125,0.00025,0
23,1.6721072509714e-06,0.01175,0.00025,0
24,2.2236815223073e-06,0.01225,0.00025,0
25,2.037730102378e-06,0.01275,0.00025,0
26,2.5855052433173e-06,0.01325,0.00025,0
27,1.3660125520118e-06,0.01375,0.00025,0
28,2.2513353250532e-06,0.01425,0.00025,0
29,-3.197128462824e-06,0.01475,0.00025,0
30,-3.1971284628237e-06,0.01525,0.00025,0
31,2.2513353250541e-06,0.01575,0.00025,0
32,1.3660125520126e-06,0.01625,0.00025,0
33,2.585505243318e-06,0.01675,0.00025,0
34,2.0377301023788e-06,0.01725,0.00025,0
35,2.223681522308e-06,0.01775,0.00025,0
36,1.6721072509718e-06,0.01825,0.00025,0
37,1.5922574924815e-06,0.01875,0.00025,0
38,1.1080168821015e-06,0.01925,0.00025,0
39,9.7982247478247e-07,0.01975,0.00025,0
40,5.6493435031594e-07,0.02025,0.00025,0
41,4.3964136167591e-07,0.02075,0.00025,0
42,8.309559860109e-08,0.02125,0.00025,0
43,-2.091515656608e-08,0.02175,0.00025,0
44,-3.1858908688032e-07,0.02225,0.00025,0
45,-3.8872642383124e-07,0.02275,0.00025,0
46,-6.2116268676917e-07,0.02325,0.00025,0
47,-6.4966257998665e-07,0.02375,0.00025,0
48,-8.1255820009295e-07,0.02425,0.00025,0
49,-8.0004032461729e-07,0.02475,0.00025,0
50,-8.9906806618253e-07,0.02525,0.00025,0
51,-8.5795321989695e-07,0.02575,0.00025,0
52,-9.0302594828642e-07,0.02625,0.00025,0
53,-8.3394665798598e-07,0.02675,0.00025,0
54,-8.0486596067886e-07,0.02725,0.00025,0
55,-6.8110415196728e-07,0.02775,0.00025,0
56,-5.4960992690355e-07,0.02825,0.00025,0
57,-3.4168752034691e-07,0.02875,0.00025,0
58,-1.3550603770232e-07,0.02925,0.00025,0
59,2.8230400086132e-07,0.02975,0.00025,0
60,-1.0935661450184e-07,0.00025,0.00075,0
61,-4.031977870721e-07,0.00075,0.00075,0
62,-3.1211129674469e-07,0.00125,0.00075,0
63,-4.3401086129033e-07,0.00175,0.00075,0
64,-5.2803506488874e-07,0.00225,0.00075,0
65,-5.3947873561388e-07,0.00275,0.00075,0
66,-5.8519316464157e-07,0.00325,0.00075,0
67,-5.8085412797438e-07,0.00375,0.00075,0
68,-6.452558486912e-07,0.00425,0.00075,0
69,-6.4132363753336e-07,0.00475,0.00075,0
70,-7.153162058403e-07,0.00525,0.00075,0
71,-6.8962856451166e-07,0.00575,0.00075,0
72,-7.583568127356e-07,0.00625,0.00075,0
73,-7.0280594527204e-07,0.00675,0.00075,0
74,-7.6703407117556e-07,0.00725,0.00075,0
75,-6.8354252321976e-07,0.00775,0.00075,0
76,-7.4379200329445e-07,0.00825,0.00075,0
77,-6.3277848310194e-07,0.00875,0.00075,0
78,-6.8708903233014e-07,0.00925,0.00075,0
79,-5.5141632025802e-07,0.00975,0.00075,0
80,-6.0035540824968e-07,0.01025,0.00075,0
81,-4.479583956143e-07,0.01075,0.00075,0
82,-4.9546986727072e-07,0.01125,0.00075,0
