id,integral_strain_stress,x,y,z
0,-880.84665664203,0.00025,0.00025,0
1,-338.13156418549,0.00075,0.00025,0
2,-500.50395089799,0.00125,0.00025,0
3,-2217.8691967657,0.00175,0.00025,0
4,-7069.7959659461,0.00225,0.00025,0
5,-15737.167723846,0.00275,0.00025,0
6,-28203.293105721,0.00325,0.00025,0
7,-43161.731954064,0.00375,0.00025,0
8,-58565.98229085,0.00425,0.00025,0
9,-71815.58128558,0.00475,0.00025,0
10,-80465.420060784,0.00525,0.00025,0
11,-82591.240913597,0.00575,0.00025,0
12,-77250.178041822,0.00625,0.00025,0
13,-64608.031154441,0.00675,0.00025,0
14,-45914.157186574,0.00725,0.00025,0
15,-23283.904603953,0.00775,0.00025,0
16,720.50859463426,0.00825,0.00025,0
17,23440.905520129,0.00875,0.00025,0
18,42609.181420831,0.00925,0.00025,0
19,56513.222045284,0.00975,0.00025,0
20,64230.045507972,0.01025,0.00025,0
21,65474.929100054,0.01075,0.00025,0
22,60466.290781694,0.01125,0.00025,0
23,49711.142530314,0.01175,0.00025,0
24,33518.738781284,0.01225,0.00025,0
25,12569.798348042,0.01275,0.00025,0
26,-13444.353550927,0.01325,0.00025,0
27,-42768.311895857,0.01375,0.00025,0
28,-71256.640374392,0.01425,0.00025,0
29,-98147.127133898,0.01475,0.00025,0
30,-98147.127133876,0.01525,0.00025,0
31,-71256.640374363,0.01575,0.00025,0
32,-42768.311895778,0.01625,0.00025,0
33,-13444.353550848,0.01675,0.00025,0
34,12569.798348141,0.01725,0.00025,0
35,33518.738781393,0.01775,0.00025,0
36,49711.142530428,0.01825,0.00025,0
37,60466.290781802,0.01875,0.00025,0
38,65474.929100142,0.01925,0.00025,0
39,64230.045508039,0.01975,0.00025,0
40,56513.222045331,0.02025,0.00025,0
41,42609.181420852,0.02075,0.00025,0
42,23440.905520133,0.02125,0.00025,0
43,720.50859462776,0.02175,0.00025,0
44,-23283.904603966,0.02225,0.00025,0
45,-45914.157186566,0.02275,0.00025,0
46,-64608.031154434,0.02325,0.00025,0
47,-77250.178041792,0.02375,0.00025,0
48,-82591.240913567,0.02425,0.00025,0
49,-80465.42006074,0.02475,0.00025,0
50,-71815.581285531,0.02525,0.00025,0
51,-58565.982290817,0.02575,0.00025,0
52,-43161.731954033,0.02625,0.00025,0
53,-28203.293105701,0.02675,0.00025,0
54,-15737.167723836,0.02725,0.00025,0
55,-7069.795965941,0.02775,0.00025,0
56,-2217.8691967643,0.02825,0.00025,0
57,-500.50395089789,0.02875,0.00025,0
58,-338.13156418582,0.02925,0.00025,0
59,-880.84665664251,0.02975,0.00025,0
60,-368.20710072077,0.00025,0.00075,0
61,-707.00042281957,0.00075,0.00075,0
62,-4294.5847021173,0.00125,0.00075,0
63,-10135.999025879,0.00175,0.00075,0
64,-17266.9141504,0.00225,0.00075,0
65,-25286.819434667,0.00275,0.00075,0
66,-33244.685627967,0.00325,0.00075,0
67,-40546.065168574,0.00375,0.00075,0
68,-46356.200530511,0.00425,0.00075,0
69,-49998.050008677,0.00475,0.00075,0
70,-50788.918399265,0.00525,0.00075,0
71,-48375.542385322,0.00575,0.00075,0
72,-42665.044067535,0.00625,0.00075,0
73,-34017.546421746,0.00675,0.00075,0
74,-23136.288589484,0.00725,0.00075,0
75,-11057.64442835,0.00775,0.00075,0
76,997.62263237592,0.00825,0.00075,0
77,11795.559602878,0.00875,0.00075,0
78,20179.105161531,0.00925,0.00075,0
79,25302.439996983,0.00975,0.00075,0
80,26568.997872975,0.01025,0.00075,0
81,23861.220456375,0.01075,0.00075,0
82,17327.884327591,0.01125,0.00075,0
83,7609.5651433355,0.01175,0.00075,0
84,-4358.6009116708,0.01225,0.00075,0
85,-17190.335244946,0.01275,0.00075,0
86,-29195.570394568,0.01325,0.00075,0
87,-37067.501970307,0.01375,0.00075,0
88,-39324.841725294,0.01425,0.00075,0
89,-49375.587676882,0.01475,0.00075,0
90,-49375.587676877,0.01525,0.00075,0
91,-39324.841725272,0.01575,0.00075,0
92,-37067.501970265,0.01625,0.00075,0
93,-29195.570394528,0.01675,0.00075,0
94,-17190.335244896,0.01725,0.00075,0
95,-4358.6009116249,0.01775,0.00075,0
96,7609.5651433866,0.01825,0.00075,0
97,17327.884327654,0.01875,0.00075,0
98,23861.220456434,0.01925,0.00075,0
99,26568.997873026,0.01975,0.00075,0
100,25302.439997041,0.02025,0.00075,0
101,20179.105161577,0.02075,0.00075,0
102,11795.55960291,0.02125,0.00075,0
103,997.62263239934,0.02175,0.00075,0
104,-11057.644428335,0.02225,0.00075,0
105,-23136.288589464,0.02275,0.00075,0
106,-34017.546421739,0.02325,0.00075,0
107,-42665.044067524,0.02375,0.00075,0
108,-48375.542385316,0.02425,0.00075,0
109,-50788.91839925,0.02475,0.00075,0
110,-49998.050008655,0.02525,0.00075,0
111,-46356.200530494,0.02575,0.00075,0
112,-40546.065168558,0.02625,0.00075,0
113,-33244.685627958,0.02675,0.00075,0
114,-25286.819434656,0.02725,0.00075,0
115,-17266.914150391,0.02775,0.00075,0
116,-10135.999025876,0.02825,0.00075,0
117,-4294.584702116,0.02875,0.00075,0
118,-707.00042281898,0.02925,0.00075,0
119,-368.20710072107,0.02975,0.00075,0
120,-1082.1875858177,0.00025,0.00125,0
121,-3916.4281498663,0.00075,0.00125,0
122,-10333.608071363,0.00125,0.00125,0
123,-19189.127122826,0.00175,0.00125,0
124,-28171.286367445,0.00225,0.00125,0
125,-35036.889286565,0.00275,0.00125,0
126,-38839.795595763,0.00325,0.00125,0
127,-39184.220808505,0.00375,0.00125,0
128,-36625.73401491,0.00425,0.00125,0
129,-32010.08217763,0.00475,0.00125,0
130,-26451.475588951,0.00525,0.00125,0
131,-20896.986760878,0.00575,0.00125,0
132,-16131.057019196,0.00625,0.00125,0
133,-12580.676056285,0.00675,0.00125,0
134,-10421.838679429,0.00725,0.00125,0
135,-9594.2395108126,0.00775,0.00125,0
136,-9930.6657522359,0.00825,0.00125,0
137,-11282.902276516,0.00875,0.00125,0
138,-13534.406133644,0.00925,0.00125,0
139,-16732.92126501,0.00975,0.00125,0
140,-20884.037489677,0.01025,0.00125,0
141,-26064.760357927,0.01075,0.00125,0
142,-31986.342283732,0.01125,0.00125,0
143,-38207.896774898,0.01175,0.00125,0
144,-43535.904591071,0.01225,0.00125,0
145,-46779.780980616,0.01275,0.00125,0
146,-45904.112630172,0.01325,0.00125,0
147,-40950.853565943,0.01375,0.00125,0
148,-37956.963724055,0.01425,0.00125,0
149,-45273.868178464,0.01475,0.00125,0
150,-45273.868178466,0.01525,0.00125,0
151,-37956.963724046,0.01575,0.00125,0
152,-40950.85356594,0.01625,0.00125,0
153,-45904.112630173,0.01675,0.00125,0
154,-46779.780980616,0.01725,0.00125,0
155,-43535.904591057,0.01775,0.00125,0
156,-38207.896774853,0.01825,0.00125,0
157,-31986.342283669,0.01875,0.00125,0
158,-26064.760357867,0.01925,0.00125,0
159,-20884.037489621,0.01975,0.00125,0
160,-16732.92126495,0.02025,0.00125,0
161,-13534.406133579,0.02075,0.00125,0
162,-11282.902276459,0.02125,0.00125,0
163,-9930.66575218,0.02175,0.00125,0
164,-9594.2395107652,0.02225,0.00125,0
165,-10421.838679393,0.02275,0.00125,0
166,-12580.676056254,0.02325,0.00125,0
167,-16131.05701917,0.02375,0.00125,0
168,-20896.98676086,0.02425,0.00125,0
169,-26451.475588935,0.02475,0.00125,0
170,-32010.082177618,0.02525,0.00125,0
171,-36625.734014913,0.02575,0.00125,0
172,-39184.220808502,0.02625,0.00125,0
173,-38839.795595754,0.02675,0.00125,0
174,-35036.889286556,0.02725,0.00125,0
175,-28171.286367437,0.02775,0.00125,0
176,-19189.127122821,0.02825,0.00125,0
177,-10333.608071359,0.02875,0.00125,0
178,-3916.4281498642,0.02925,0.00125,0
179,-1082.187585818,0.02975,0.00125,0
180,-3487.014560862,0.00025,0.00175,0
181,-9635.7295060362,0.00075,0.00175,0
182,-18472.776815616,0.00125,0.00175,0
183,-28290.691080472,0.00175,0.00175,0
184,-36657.22637408,0.00225,0.00175,0
185,-41274.229824993,0.00275,0.00175,0
186,-40808.158700865,0.00325,0.00175,0
187,-35562.822448557,0.00375,0.00175,0
188,-26825.610334949,0.00425,0.00175,0
189,-16732.204447188,0.00475,0.00175,0
190,-7480.0640508517,0.00525,0.00175,0
191,-1022.7133708508,0.00575,0.00175,0
192,1432.330667671,0.00625,0.00175,0
193,-529.66254992729,0.00675,0.00175,0
194,-6468.1341661069,0.00725,0.00175,0
195,-15335.74951855,0.00775,0.00175,0
196,-25748.150303841,0.00825,0.00175,0
197,-36284.436252446,0.00875,0.00175,0
198,-45817.353524067,0.00925,0.00175,0
199,-53558.537629822,0.00975,0.00175,0
200,-59238.815368383,0.01025,0.00175,0
201,-62755.360743077,0.01075,0.00175,0
202,-64273.057694312,0.01125,0.00175,0
203,-63561.741466072,0.01175,0.00175,0
204,-60503.666547943,0.01225,0.00175,0
205,-54294.306538658,0.01275,0.00175,0
206,-45350.647654024,0.01325,0.00175,0
207,-35197.486470154,0.01375,0.00175,0
208,-29332.107590965,0.01425,0.00175,0
209,-34894.379231383,0.01475,0.00175,0
210,-34894.379231395,0.01525,0.00175,0
211,-29332.10759098,0.01575,0.00175,0
212,-35197.486470173,0.01625,0.00175,0
213,-45350.647654038,0.01675,0.00175,0
214,-54294.306538674,0.01725,0.00175,0
215,-60503.666547935,0.01775,0.00175,0
216,-63561.741466048,0.01825,0.00175,0
217,-64273.057694247,0.01875,0.00175,0
218,-62755.360743011,0.01925,0.00175,0
219,-59238.815368331,0.01975,0.00175,0
220,-53558.537629751,0.02025,0.00175,0
221,-45817.353523997,0.02075,0.00175,0
222,-36284.436252373,0.02125,0.00175,0
223,-25748.150303758,0.02175,0.00175,0
224,-15335.749518469,0.02225,0.00175,0
225,-6468.1341660503,0.02275,0.00175,0
226,-529.66254989802,0.02325,0.00175,0
227,1432.3306676809,0.02375,0.00175,0
228,-1022.7133708592,0.02425,0.00175,0
229,-7480.0640508534,0.02475,0.00175,0
230,-16732.20444718,0.02525,0.00175,0
231,-26825.61033494,0.02575,0.00175,0
232,-35562.822448548,0.02625,0.00175,0
233,-40808.15870087,0.02675,0.00175,0
234,-41274.229824995,0.02725,0.00175,0
235,-36657.226374077,0.02775,0.00175,0
236,-28290.69108047,0.02825,0.00175,0
237,-18472.776815612,0.02875,0.00175,0
238,-9635.7295060331,0.02925,0.00175,0
239,-3487.014560861,0.02975,0.00175,0
240,-8621.6047386621,0.00025,0.00225,0
241,-16880.149490653,0.00075,0.00225,0
242,-26517.749574766,0.00125,0.00225,0
243,-35386.626837875,0.00175,0.00225,0
