x,y,z,value
0.015,0.0005,0,15.5832082718281
0.015,0.001,0,27.149830791661
0.015,0.0015,0,34.2458655321121
0.015,0.002,0,32.5996957995456
0.015,0.0025,0,25.0704038999255
0.015,0.003,0,9.912859305621
0.015,0.0035,0,-7.30481749059979
0.015,0.004,0,-26.4616553722502
0.015,0.0045,0,-40.8641157852038
0.015,0.005,0,-51.0261590048696
0.015,0.0055,0,-51.8048206530701
0.015,0.006,0,-46.8149065229632
0.015,0.0065,0,-34.0057838371641
0.015,0.007,0,-20.3519732097033
0.015,0.0075,0,-5.45688946296278
0.015,0.008,0,2.13616803282366
0.015,0.0085,0,14.4055845716415
0.015,0.009,0,18.1523817522048
0.015,0.0095,0,16.772805740744
0.015,0.01,0,12.6566165489397
0.015,0.0105,0,12.8458399408713
0.015,0.011,0,7.1953952318274
0.015,0.0115,0,0.0792772306813134
0.015,0.012,0,-18.2344286822231
0.015,0.0125,0,-27.910670280821
0.015,0.013,0,-31.5580291379011
0.015,0.0135,0,-21.7284936515969
0.015,0.014,0,-6.99310309514613
0.015,0.0145,0,-2.05531525197716
0.015,0.015,0,-13.9834405809668
0.015,0.0155,0,-37.0514621105297
0.015,0.016,0,-79.1289600368298
0.015,0.0165,0,-89.4713498457957
0.015,0.017,0,-113.801053650575
0.015,0.0175,0,-17.2273080280475
0.015,0.018,0,16.2061997939761
0.015,0.0185,0,44.2077599449863
0.015,0.019,0,-74.0997624139391
0.015,0.0195,0,68.1922246672361
0.015,0.02,0,-17.9404512372303
