x,y,z,value
0,0,0,0
0.01,0,0,0.223295136321701
0.01,0.01,0,0.221224829622999
0,0.01,0,0
0.02,0,0,0.445588901042001
0.02,0.01,0,0.441442421571999
0.03,0,0,0.666072548698001
0.03,0.01,0,0.659832267723001
0.04,0,0,0.884331357260997
0.04,0.01,0,0.875981590744999
0.05,0,0,1.100491429708
0.05,0.01,0,1.090010858802
0.06,0,0,1.315323565493
0.06,0.01,0,1.302681392555
0.07,0,0,1.530260408253
0.07,0.01,0,1.51543386919801
0.08,0,0,1.74742397397699
0.08,0.01,0,1.730382314957
0.09,0,0,1.969456536534
0.09,0.01,0,1.950164006305
0.1,0,0,2.19938462311299
0.1,0.01,0,2.177813928532
0.11,0,0,2.440398329548
0.11,0.01,0,2.416510580896
0.12,0,0,2.69556028192
0.12,0.01,0,2.66932068916
0.13,0,0,2.96758442732001
0.13,0.01,0,2.93894908618
0.14,0,0,3.25854111133999
0.14,0.01,0,3.22746038139
0.15,0,0,3.56967258304999
0.15,0.01,0,3.53608503504
0.16,0,0,3.9011836363
0.16,0.01,0,3.86502029147999
0.17,0,0,4.25217617225999
0.17,0.01,0,4.21334814949
0.18,0,0,4.62056716491
0.18,0.01,0,4.57897180719999
0.19,0,0,5.00310058148
0.19,0.01,0,4.95861290090002
0.2,0,0,5.39537398810998
0.2,0.01,0,5.34785186923
0.21,0,0,5.79191623862999
0.21,0.01,0,5.74119732318999
0.22,0,0,6.18629069695001
0.22,0.01,0,6.13219670247
0.23,0,0,6.57124225262001
0.23,0.01,0,6.51357935743999
0.24,0,0,6.93884768922001
0.24,0.01,0,6.87741712778998
0.25,0,0,7.28072234036
0.25,0.01,0,7.21533171469002
0.26,0,0,7.58828632934998
0.26,0.01,0,7.51875811219
0.27,0,0,7.85306762050999
0.27,0.01,0,7.77926421314999
0.28,0,0,8.06705744881998
0.28,0.01,0,7.98890034499001
0.29,0,0,8.22313893998
0.29,0.01,0,8.14063643714999
0.3,0,0,8.31551326573
0.3,0.01,0,8.22878512611001
0.31,0,0,8.34014160777002
0.31,0.01,0,8.24945820082999
0.32,0,0,8.29517886462003
0.32,0.01,0,8.20097563725
0.33,0,0,8.18124985252001
0.33,0.01,0,8.08416437100004
0.34,0,0,8.00164271087004
0.34,0.01,0,7.90251492429996
0.35,0,0,7.76226107846003
0.35,0.01,0,7.66214064616003
0.36,0,0,7.47131180068999
0.36,0.01,0,7.37144899077998
0.37,0,0,7.13878061544
0.37,0.01,0,7.04059422730001
0.38,0,0,6.77563879642997
0.38,0.01,0,6.68068003784003
0.39,0,0,6.39279882468003
0.39,0.01,0,6.30272106212004
0.4,0,0,6.00011461473997
0.4,0.01,0,5.91661637778003
0.41,0,0,5.60528288114
